"date","Q1","Q2"
1985.66849315068,170,0.81
1985.67123287671,189,2.56
1985.67397260274,187,2.8
1985.67671232877,184,1.65
1985.67945205479,165,0.82
1985.68219178082,143,0.9
1985.68493150685,142,1.49
1985.68767123288,142,1.89
1985.6904109589,141,1.51
1985.69315068493,147,1.21
1985.69589041096,207,1.38
1985.69863013699,175,2.96
1985.70136986301,164,2.31
1985.70410958904,176,3.47
1985.70684931507,215,13.8
1985.7095890411,193,11.1
1985.71232876712,181,8.55
1985.71506849315,204,12.9
1985.71780821918,216,14
1985.72054794521,210,12
1985.72328767123,230,14.9
1985.72602739726,222,16
1985.72876712329,201,14
1985.73150684932,190,12
1985.73424657534,183,12
1985.73698630137,186,12
1985.7397260274,248,13.1
1985.74246575342,284,16
1985.74520547945,233,20.6
1985.74794520548,215,21
1985.75068493151,205,20
1985.75342465753,200,18
1985.75616438356,205,18
1985.75890410959,199,22
1985.76164383562,196,26
1985.76438356164,265,55
1985.76712328767,327,61
1985.7698630137,280,46
1985.77260273973,256,33
1985.77534246575,272,57
1985.77808219178,269,43
1985.78082191781,252,50
1985.78356164384,246,38
1985.78630136986,220,30
1985.78904109589,217,25
1985.79178082192,217,23
1985.79452054795,212,21
1985.79726027397,212,20
1985.8,211,19
1985.80273972603,209,18
1985.80547945205,209,18
1985.80821917808,204,18
1985.81095890411,196,18
1985.81369863014,191,16
1985.81643835616,190,16
1985.81917808219,189,17
1985.82191780822,191,17
1985.82465753425,195,17
1985.82739726027,193,17
1985.8301369863,192,16
1985.83287671233,176,17
1985.83561643836,176,18
1985.83835616438,183,17
1985.84109589041,170,18
1985.84383561644,179,18
1985.84657534247,177,18
1985.84931506849,160,18
1985.85205479452,175,15
1985.85479452055,170,16
1985.85753424658,164,16
1985.8602739726,169,20
1985.86301369863,167,32
1985.86575342466,149,23
1985.86849315069,131,15
1985.87123287671,149,18
1985.87397260274,128,15
1985.87671232877,149,20
1985.87945205479,147,18
1985.88219178082,127,12
1985.88493150685,118,15
1985.88767123288,132,19
1985.8904109589,120,15
1985.89315068493,135,19
1985.89589041096,135,20
1985.89863013699,133,20
